Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
1,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,Uttar Pradesh,GHAZIABAD,DISTRICT MAGISTRAE GHAZIABAD,ATUL GARG,GHAZIABAD,2026-08-21,DARSH BUILDCON,Payment In-Progress,799146.0
2,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,Uttar Pradesh,GHAZIABAD,DISTRICT MAGISTRAE GHAZIABAD,ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,832080.0
3,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,Uttar Pradesh,GHAZIABAD,DISTRICT MAGISTRAE GHAZIABAD,ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,498309.0
4,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP575/2026-2027/291463,Gujarat,NAVSARI,DISTRICT COLLECTOR NAVSARI,C R Patil,NAVSARI,2026-08-29,BHARGAV SUMANTRAI PATEL,Payment In-Progress,497845.0
5,Construction of community centers and community halls,WS/MP300/2025-2026/226393,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-25,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000.0
6,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,Odisha,SAMBALPUR,DISTRICT COLLECTOR SAMBALPUR,DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000.0
7,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,Odisha,SAMBALPUR,DISTRICT COLLECTOR SAMBALPUR,DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000.0
8,Construction of community centers and community halls,WS/MP18142/2025-2026/225283,Odisha,JAGATSINGHAPUR,DISTRICT COLLECTOR JAGATSINGHPUR,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000.0
9,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP300/2025-2026/257871,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000.0
10,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157041,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000.0
11,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157040,Odisha,KHORDHA,DISTRICT COLLECTOR KHORDHA,Smt Aparajita Sarangi,BHUBANESWAR,2026-08-30,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000.0
12,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,Odisha,BOUDH,District Collector Boudh,SUKANTA KUMAR PANIGRAHI,KANDHAMAL,2026-08-17,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000.0
13,Construction of community centers and community halls,WS/MP18142/2025-2026/185341,Odisha,PURI,DISTRICT COLLECTOR PURI,BIBHU PRASAD TARAI,JAGATSINGHPUR(SC),2026-08-28,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000.0
