Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
1,Normal/Others,WS/MP418/2024-2025/133409,"Construction of roads, link roads, pathways or any other road with or without drainage system","PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Bihar,ARARIA,DISTRICT PLANNING OFFICER ARARIA,Pradeep Kumar Singh,ARARIA,False,2024-09-05,448127.0
2,Normal/Others,WS/MP18152/2024-2025/133691,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
3,Normal/Others,WS/MP345/2024-2025/134140,"Construction of roads, link roads, pathways or any other road with or without drainage system","Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,False,2024-08-12,293492.0
4,Normal/Others,WS/MP18152/2024-2025/133686,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
5,Normal/Others,WS/MP18152/2024-2025/133690,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
6,Normal/Others,WS/MP18152/2024-2025/133689,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
7,Normal/Others,WS/MP345/2024-2025/134143,Construction of buildings for community cultural activities,"Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.",Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,True,2024-10-28,1182588.0
8,Normal/Others,WS/MP345/2024-2025/134144,Construction of buildings for community cultural activities,Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach),Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,False,2024-08-17,338444.0
9,Normal/Others,WS/MP18152/2024-2025/133694,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,300000.0
10,Normal/Others,WS/MP18152/2024-2025/133696,Installing community drinking water plants,Installation of RO System and water cooler in Govt Primary school Pakka No.4,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),False,2025-04-07,84500.0
