Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Recommended Date,Recommended Amount (INR),Sanction Date
1,Normal/Others,WS/MP620/2024-2025/133166,Construction of buildings for community cultural activities,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-08,497185.0,2024-07-09
2,Trust and Society,WS/MP620/2025-2026/133167,Construction of rooms and halls in school and colleges,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-08,500000.0,2025-09-18
3,Trust and Society,WS/MP620/2024-2025/133190,Construction of buildings for community cultural activities,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-08,450000.0,2024-09-23
4,Normal/Others,WS/MP620/2025-2026/133191,Construction of buildings for community cultural activities,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,Karnataka,HAVERI,DEPUTY COMMISSIONER HAVERI,Pralhad Venkatesh Joshi,DHARWAD,2024-07-08,1500000.0,2025-05-29
5,Normal/Others,WS/MP620/2024-2025/133301,Construction of buildings for community cultural activities,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-09,398009.0,2024-08-22
6,Normal/Others,WS/MP620/2024-2025/133303,Construction of buildings for community cultural activities,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-09,399104.0,2024-07-25
7,Normal/Others,WS/MP620/2024-2025/133304,Construction of buildings for community cultural activities,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-09,396154.0,2024-08-22
8,Normal/Others,WS/MP620/2025-2026/133305,Construction of buildings for community cultural activities,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-09,400000.0,2025-06-03
9,Normal/Others,WS/MP620/2024-2025/133306,Construction of buildings for community cultural activities,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-09,495627.0,2025-03-14
10,Normal/Others,WS/MP620/2024-2025/133307,Construction of buildings for community cultural activities,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,Karnataka,DHARWAD,DEPUTY COMMISSIONER DHARWAR,Pralhad Venkatesh Joshi,DHARWAD,2024-07-09,398955.0,2024-08-17
