Work ID,Work Category,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Recommended Date,Recommended Amount (INR),Sanction Date,Completion Date,Amount Disbursed (INR),Has Image,ratio_disbursed_to_recommended,underspend_pct,has_underspend,days_recommended_to_completion,days_sanction_to_completion
WS/MP418/2024-2025/133409,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",Bihar,ARARIA,DISTRICT PLANNING OFFICER ARARIA,Pradeep Kumar Singh,ARARIA,2024-07-12,448127.0,2024-07-14,2024-09-05,448127.0,False,1.0,0.0,False,55,53
WS/MP18152/2024-2025/133691,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda),Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP345/2024-2025/134140,Normal/Others,"Construction of roads, link roads, pathways or any other road with or without drainage system","Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency",Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,2024-07-25,293492.0,2024-07-29,2024-08-12,293492.0,False,1.0,0.0,False,18,14
WS/MP18152/2024-2025/133686,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school bajakhana main,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133690,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133689,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Rauwala,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP345/2024-2025/134143,Normal/Others,Construction of buildings for community cultural activities,"Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.",Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,2024-07-25,1182588.0,2024-08-13,2024-10-28,1182588.0,True,1.0,0.0,False,95,76
WS/MP345/2024-2025/134144,Normal/Others,Construction of buildings for community cultural activities,Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach),Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,2024-07-25,338444.0,2024-08-13,2024-08-17,338444.0,False,1.0,0.0,False,23,4
WS/MP18152/2024-2025/133694,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133696,Normal/Others,Installing community drinking water plants,Installation of RO System and water cooler in Govt Primary school Pakka No.4,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,84500.0,2024-08-02,2025-04-07,84500.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133701,Normal/Others,Installing community drinking water plants,Installation of RO System and water cooler in Govt Primary school Bajakhana Main,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,84500.0,2024-08-02,2025-04-07,84500.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133693,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133703,Normal/Others,Installing community drinking water plants,Installation of RO System and water cooler in Govt Primary school Dhudi,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,84500.0,2024-08-02,2025-04-07,84500.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133688,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP18152/2024-2025/133687,Normal/Others,Construction of rooms and halls in school and colleges,Construction of MID DAY Meal Shed in Govt Primary school Gondara,Punjab,FARIDKOT,DEPUTY COMMISSIONER FARIDKOT,SARABJEET SINGH KHALSA,FARIDKOT(SC),2024-07-22,300000.0,2024-08-02,2025-04-07,300000.0,False,1.0,0.0,False,259,248
WS/MP345/2024-2025/134123,Normal/Others,Construction of rooms and halls in school and colleges,Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in  Punalur Constituency (ST),Kerala,KOLLAM,DISTRICT COLLECTOR KOLLAM,Shri NK Premachandran,KOLLAM,2024-07-25,4740188.0,2024-08-19,2024-12-06,4740188.0,True,1.0,0.0,False,134,109
