Work ID,n_payments,total_disbursed,n_vendors,max_single_payment,first_payment_date,last_payment_date,n_in_progress,span_days,max_payment_share,pct_in_progress
WS/MP005/2024-2025/145074,1,450000.0,1,450000.0,2025-04-22,2025-04-22,0,0,1.0,0.0
WS/MP005/2024-2025/175217,1,250000.0,1,250000.0,2025-06-02,2025-06-02,0,0,1.0,0.0
WS/MP005/2024-2025/175218,1,149865.0,1,149865.0,2026-01-30,2026-01-30,0,0,1.0,0.0
WS/MP005/2024-2025/175230,1,100000.0,1,100000.0,2025-05-09,2025-05-09,0,0,1.0,0.0
WS/MP005/2024-2025/175232,1,50000.0,1,50000.0,2025-05-09,2025-05-09,0,0,1.0,0.0
WS/MP005/2024-2025/175233,1,450000.0,1,450000.0,2025-09-16,2025-09-16,0,0,1.0,0.0
WS/MP005/2024-2025/175247,1,50000.0,1,50000.0,2025-07-01,2025-07-01,0,0,1.0,0.0
WS/MP005/2024-2025/175248,1,50000.0,1,50000.0,2025-07-01,2025-07-01,0,0,1.0,0.0
WS/MP005/2024-2025/175249,1,100000.0,1,100000.0,2025-09-16,2025-09-16,0,0,1.0,0.0
WS/MP005/2024-2025/175250,1,200000.0,1,200000.0,2025-05-30,2025-05-30,0,0,1.0,0.0
WS/MP005/2024-2025/175251,1,100000.0,1,100000.0,2025-05-30,2025-05-30,0,0,1.0,0.0
WS/MP005/2024-2025/175254,1,200000.0,1,200000.0,2025-06-30,2025-06-30,0,0,1.0,0.0
WS/MP005/2024-2025/175771,1,200000.0,1,200000.0,2025-06-30,2025-06-30,0,0,1.0,0.0
WS/MP005/2025-2026/164299,1,250000.0,1,250000.0,2025-07-05,2025-07-05,0,0,1.0,0.0
WS/MP005/2025-2026/164754,1,200000.0,1,200000.0,2026-02-03,2026-02-03,0,0,1.0,0.0
WS/MP005/2025-2026/164759,1,199267.0,1,199267.0,2025-10-16,2025-10-16,0,0,1.0,0.0
WS/MP005/2025-2026/164760,1,100000.0,1,100000.0,2025-08-21,2025-08-21,0,0,1.0,0.0
WS/MP005/2025-2026/174441,1,250000.0,1,250000.0,2025-10-14,2025-10-14,0,0,1.0,0.0
WS/MP005/2025-2026/174442,1,200000.0,1,200000.0,2026-03-09,2026-03-09,0,0,1.0,0.0
WS/MP005/2025-2026/174443,1,200000.0,1,200000.0,2025-10-04,2025-10-04,0,0,1.0,0.0
WS/MP005/2025-2026/174444,1,197324.0,1,197324.0,2025-10-15,2025-10-15,0,0,1.0,0.0
WS/MP005/2025-2026/174445,1,199248.0,1,199248.0,2025-07-25,2025-07-25,0,0,1.0,0.0
WS/MP005/2025-2026/174452,1,150000.0,1,150000.0,2025-08-04,2025-08-04,0,0,1.0,0.0
WS/MP005/2025-2026/174459,1,149553.0,1,149553.0,2025-10-30,2025-10-30,0,0,1.0,0.0
WS/MP005/2025-2026/174775,1,196460.0,1,196460.0,2025-12-10,2025-12-10,0,0,1.0,0.0
WS/MP005/2025-2026/174776,1,98596.0,1,98596.0,2025-09-17,2025-09-17,0,0,1.0,0.0
WS/MP005/2025-2026/174781,1,49081.0,1,49081.0,2025-08-18,2025-08-18,0,0,1.0,0.0
WS/MP005/2025-2026/174810,1,196313.0,1,196313.0,2025-08-28,2025-08-28,0,0,1.0,0.0
WS/MP005/2025-2026/174817,1,98344.0,1,98344.0,2025-08-04,2025-08-04,0,0,1.0,0.0
WS/MP005/2025-2026/174818,1,245419.0,1,245419.0,2025-08-28,2025-08-28,0,0,1.0,0.0
WS/MP005/2025-2026/174979,1,98596.0,1,98596.0,2025-08-12,2025-08-12,0,0,1.0,0.0
WS/MP005/2025-2026/174980,1,49081.0,1,49081.0,2025-07-31,2025-07-31,0,0,1.0,0.0
WS/MP005/2025-2026/174981,1,99535.0,1,99535.0,2025-09-09,2025-09-09,0,0,1.0,0.0
WS/MP005/2025-2026/175136,1,150000.0,1,150000.0,2026-03-12,2026-03-12,0,0,1.0,0.0
WS/MP005/2025-2026/175138,1,199990.0,1,199990.0,2026-03-12,2026-03-12,0,0,1.0,0.0
WS/MP005/2025-2026/175139,1,100000.0,1,100000.0,2025-11-10,2025-11-10,0,0,1.0,0.0
